,date,MA1_9,MA2_9,MA3_9,MA1_12,MA2_12,MA3_12,MOM(1),MOM(2),MOM(3),MOM(6),MOM(9),MOM(12)
247,1986-12-24,0,0,0,0,0,0,1,1,1,1,1,1
248,1986-12-29,0,0,0,0,0,0,1,1,1,1,1,1
249,1986-12-30,0,0,0,0,0,0,1,1,1,1,1,1
250,1986-12-31,0,0,0,0,0,0,1,1,1,1,1,1
251,1987-01-02,0,0,0,0,0,0,1,1,1,1,1,1
252,1987-01-05,0,0,0,0,0,0,0,1,1,1,1,1
253,1987-01-06,0,0,0,0,0,0,1,1,1,1,1,1
254,1987-01-07,0,0,0,0,0,0,1,1,1,1,1,1
255,1987-01-08,0,0,0,0,0,0,1,1,1,1,1,1
256,1987-01-09,0,0,0,0,0,0,1,1,1,1,1,1
257,1987-01-12,0,0,0,0,0,0,1,1,1,1,1,1
258,1987-01-13,0,0,0,0,0,0,0,1,1,1,1,1
259,1987-01-14,0,0,0,0,0,0,1,1,1,1,1,1
260,1987-01-15,0,0,0,0,0,0,0,1,1,1,1,1
261,1987-01-16,0,0,0,0,0,0,1,1,1,1,1,1
262,1987-01-19,1,0,0,0,0,0,0,0,0,0,1,1
263,1987-01-20,1,1,1,0,0,0,1,0,0,0,1,1
264,1987-01-21,1,1,1,1,1,1,0,0,0,0,0,1
265,1987-01-22,1,1,1,1,1,1,1,1,1,0,0,1
266,1987-01-23,1,1,1,1,1,1,0,0,0,0,0,1
267,1987-01-26,1,1,1,1,1,1,1,0,1,0,0,1
268,1987-01-27,1,1,1,1,1,1,0,0,0,0,0,0
269,1987-01-28,1,1,1,1,1,1,1,0,0,0,0,0
270,1987-01-29,0,1,1,1,1,1,1,1,1,1,0,0
271,1987-01-30,0,0,0,0,1,1,1,1,1,0,1,0
272,1987-02-02,1,0,0,1,1,1,0,0,1,1,0,0
273,1987-02-03,1,1,1,1,1,1,0,0,0,0,0,0
274,1987-02-04,1,1,1,1,1,1,0,0,0,0,0,0
275,1987-02-05,0,1,1,1,1,1,1,1,0,1,0,0
276,1987-02-06,1,1,1,1,1,1,0,1,1,0,0,0
277,1987-02-09,1,1,1,1,1,1,0,0,1,0,0,0
278,1987-02-10,1,1,1,1,1,1,1,0,0,0,0,0
